statistic,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
EXPV,-2.0213392818684386,-0.5805389003924677,-0.3174788849212542,-0.018223930345808936
MACE,0.042923433874709954,0.03712296983758699,0.005104408352668209,0.0123433874709977
MAPE,6.192633429830211,3.9364804523195063,3.889003027371858,5.1739497620247645
MSLL,0.7676379068227132,0.43286882653379133,0.384981187012136,0.4683592103796878
NLL,0.6513006263819597,0.9860697066708815,1.0339573461925367,0.9505793228249849
R2,-2.0247831177017472,-0.5805787483588754,-0.31806820984189454,-0.02339951937928353
RMSE,1.739190362698042,1.2572107016562002,1.1480715177382872,1.0116321067360818
Rho,0.2777999928702926,0.16978821070638547,0.3693894773423275,0.5215275293695201
Rho_p,9.699784841366802e-17,5.326292247898965e-07,2.9367955170021436e-29,2.721197985703076e-61
SMSE,3.0247831177017463,1.5805787483588754,1.3180682098418945,1.0233995193792833
ShapiroW,0.9372142575899753,0.9584322638411029,0.9968797663786825,0.9977490594612098
